"Output","Predictor.Count","Predictor.Zero"
0,-2.66178523655981,1.00757926004007
0,3.1641121651046,-1.65460681775585
0,-2.50364302191883,4.46305296383798
0,-3.9769772766158,2.1300831483677
0,-1.50871250545606,4.27270411513746
0,3.89926782809198,-4.09189908765256
1,3.69294371455908,-1.41233311966062
0,4.7343349433504,-0.746794978622347
0,3.74612839426845,2.98957837047055
0,-0.0836831936612725,2.00427626492456
4,-0.630688299424946,-2.06569823436439
13,-4.9410626036115,2.02255445765331
0,4.34510723687708,-0.68844998953864
0,3.41179867275059,1.23171238461509
0,-0.207315790466964,-3.641500051599
0,3.66516904672608,0.893300250172615
0,1.72451773192734,4.66542470734566
2,-0.0273110484704375,-2.13509110966697
0,-1.62376391235739,3.55928782606497
0,3.03898588987067,-1.10765464836732
1,1.13588421372697,-3.86530388146639
0,4.36417778255418,-4.07768017379567
5,-1.64362455252558,-3.85107127716765
4,-1.47557225544006,-4.02974471682683
0,2.09139248123392,3.71927678352222
0,-0.614925092086196,-1.86257073422894
0,-1.59267157781869,2.7639552205801
7,-1.5825461759232,-3.29964574659243
1,-0.0924445455893874,2.21665424993262
4,-3.22178262518719,-4.68065579188988
0,4.09901931881905,2.72662687348202
14,-4.27103625843301,-4.97760231606662
0,-1.9896526960656,3.76983612542972
17,-4.07439962262288,-3.26374831842259
0,3.82060517324135,-0.823881865944713
3,-0.718751628883183,-2.68741034436971
0,-2.56141220219433,2.46997981099412
0,3.14028598135337,-1.69971361756325
1,-0.268272841349244,0.356156374327838
3,-1.6805512830615,-4.58431360078976
0,4.86091438448057,-4.63589143007994
0,-4.45698466151953,4.70742586767301
2,-3.63124016439542,-3.1550534744747
25,-4.36031847726554,3.07675534160808
0,1.64814926683903,3.10396416578442
0,-2.29360994650051,-3.85263764997944
3,-0.606530215591192,-0.583362672477961
5,-2.8401966043748,2.10632857866585
0,3.52617041673511,-3.39931273832917
0,-4.74115482764319,0.624849866144359
4,-0.0072229839861393,-3.77914196578786
0,-4.3149891262874,4.6522405417636
0,1.54113634722307,-2.18042854685336
11,-4.55010961275548,-2.89963324787095
3,-4.03530927142128,-2.12453605374321
0,-2.54913495387882,1.73642945708707
0,2.23624565405771,3.75932923983783
0,1.55836503952742,1.84913530014455
2,0.706798699684441,-3.56287483824417
1,1.90647913143039,-3.98049026494846
7,-3.81282768212259,-1.29781973082572
0,3.74158191960305,0.1268978160806
0,3.61496324185282,-3.13632362755015
0,2.94648405630141,2.81886433484033
1,4.1272082249634,-1.49126978591084
0,-2.39385158987716,2.07181735197082
6,-1.82480131974444,1.01329260971397
0,1.33621103130281,3.50044466089457
0,0.580100712832063,-1.25316155375913
2,2.12537677027285,-4.58749924087897
0,-2.16830370016396,0.0386905926279724
3,-3.05000616237521,-4.70948010217398
0,-0.319393547251821,3.31173098180443
0,-3.25788252986968,1.70109908562154
0,-2.04461623448879,-2.07617943407968
0,3.07165661128238,3.772313373629
1,2.83847518963739,-4.58923922618851
0,3.6022010166198,-2.0702756755054
0,3.10741922352463,-3.03896511206403
0,-1.56748317647725,-1.22068385826424
0,2.96021597459912,3.52162902010605
0,-2.70427655428648,3.95085624651983
8,-2.83679219195619,-4.31968419114128
0,-4.92468239273876,2.05603805603459
0,1.63499160436913,4.37286441214383
0,0.643312835600227,0.673960603307933
0,4.21700636390597,-3.01346659427509
0,3.8070525159128,-3.1781396875158
0,-2.37260922091082,3.27516152523458
4,-1.91849959315732,-0.947065327782184
0,2.33143886551261,-4.13546976866201
0,0.168115515261889,4.64911312097684
1,2.23999073496088,-2.20578958047554
0,-2.6791620743461,-0.317126584704965
5,-1.51922692544758,1.37095070211217
0,4.35560585930943,2.8702423046343
0,3.22071064263582,-2.44473710190505
1,3.08669076068327,-2.14847080176696
0,2.57155439583585,-0.840425530914217
0,0.469445046037436,-4.51681542443112
1,-0.794807905331254,-3.12036481685936
0,4.48392275720835,-0.0181532395072281
0,2.12282148888335,-1.76276126876473
0,0.628704729024321,3.58347383793443
6,-0.951214260421693,-2.47869253624231
0,0.41708123171702,2.54030568990856
0,1.95548928808421,3.34157784003764
2,1.03582566604018,-4.7118332167156
0,2.16917165787891,-2.7633775700815
0,-0.0441786018200219,4.9997447244823
0,3.73970056185499,0.636922551784664
0,4.76710166083649,-2.34345444710925
0,4.85859878826886,3.10924333520234
3,-2.32566751772538,-2.47635371983051
4,-2.73865480907261,-0.425253552384675
11,-2.24618046311662,-1.8866255460307
0,2.18221450457349,0.465598616283387
0,-2.97306104796007,3.04812184302136
0,-1.37668010545895,4.45164738921449
0,3.14739710418507,-0.896467280108482
0,3.8100298633799,-3.38153786491603
13,-3.26073462376371,-1.8638963252306
0,1.52422573184595,-0.197803552728146
0,3.00465296022594,-3.89149633934721
0,-3.03233346901834,2.43963297689334
2,-0.837415971327573,-0.970177741255611
0,-0.620773115660995,4.28114231210202
0,-1.72656478593126,2.28288801852614
0,4.40245064906776,-3.80873652873561
0,-4.00418368401006,-4.14836819982156
0,-2.55990686360747,3.14474559389055
0,2.20932335359976,2.46534772450104
